Year,Type,Country,Area,Location,Activity,Gender,Age,Fatal (Y/N)
2016.0,Provoked,BAHAMAS,,,unknown,M,9.0,N
2016.0,Unprovoked,USA,Florida,"Vero Beach, St. Lucie County",surfing,M,19.0,N
2016.0,Unprovoked,Fiji,Vanua Levu,,diving,M,45.0,Y
2016.0,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",unknown,M,12.0,N
2016.0,Unprovoked,AUSTRALIA,South Australia,Wrights Bay,fishing,M,,N
2016.0,Unprovoked,BRAZIL,Santa Catarina State,Escalerio Beach Balneário Camboriú,swimming,M,41.0,N
2016.0,Unprovoked,NEW CALEDONIA,South Province,"Ricaudy Reef, Noumea",surfing,M,21.0,N
2016.0,Unprovoked,NEW CALEDONIA,South Province,Yate,fishing,M,31.0,N
2016.0,Unprovoked,DOMINICAN REPUBLIC,Altagracia Province,"Bavaro Beach, Punta Cana",wading,F,,N
2016.0,Unprovoked,AUSTRALIA,Queensland,Stradbroke Island,other,F,45.0,N
2016.0,Unprovoked,AUSTRALIA,New South Wales,Hams Beach,surfing,M,40.0,N
2016.0,Unprovoked,BRAZIL,Balneário Camboriú,Estaleirinho beach,swimming,M,41.0,N
2016.0,Boating,SOUTH AFRICA,KwaZulu-Natal,,fishing,M,,N
2016.0,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai",surfing,M,,N
2016.0,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai, ",surfing,F,15.0,N
2016.0,Unprovoked,USA,Texas,Off Surfside,fishing,M,,N
2016.0,Boating,UNITED ARAB EMIRATES,Fujairah Emirate,35 miles off Fujairah,fishing,M,,N
2016.0,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",paddling,M,48.0,N
2016.0,Unprovoked,AUSTRALIA,Queensland,"Happy Valley Beach, Caloundra",surfing,M,,N
2016.0,Unprovoked,AUSTRALIA,Queensland,Heron Island,wading,M,11.0,N
2016.0,Unprovoked,AUSTRALIA,Queensland,Miall Island,fishing,M,31.0,N
2015.0,Boating,SOUTH AFRICA,KwaZulu-Natal,Westbrook Beach,fishing,M,,N
2015.0,Unprovoked,SPAIN,Grand Canary Island,"Arinaga Beach, Aguimes, Gran Canaria",swimming,F,38.0,N
