Year,Type,Country,Area,Location,Activity,Gender,Age,Fatal (Y/N)
2016.0,Unprovoked,USA,Hawaii,"Kamaole Beach Park I, Maui",swimming,F,58.0,N
2016.0,Unprovoked,USA,Florida,"Mayport Naval Station Beach, Duval County",surfing,M,41.0,N
2016.0,Unprovoked,USA,Florida,Mayport Naval Station  Duval County,surfing,M,42.0,N
2016.0,Unprovoked,AUSTRALIA,New South Wales,Broken Head Beach,surfing,M,36.0,N
2016.0,Unprovoked,USA,Hawaii,"Hooipa Beach Park, Maui",surfing,M,36.0,N
2016.0,Unprovoked,AUSTRALIA,Queensland,"Kings Beach, Caloundra",surfing,M,,N
2016.0,Unprovoked,USA,Hawaii,"Charlie Young Beach, Kihei, Maui",other,F,66.0,N
2016.0,"Valid, but unknown",MEXICO,,Guadalupe Island,diving,M,,UNKNOWN
2016.0,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",surfing,M,25.0,N
2016.0,Unprovoked,USA,Oregon,"Indian Beach, Ecola State Park, Clatsop County",surfing,M,29.0,N
2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,21.0,N
2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,32.0,N
2016.0,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Ballina",surfing,M,17.0,N
2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,16.0,N
2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,36.0,N
2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,43.0,N
2016.0,Unprovoked,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",surfing,M,43.0,N
2016.0,Unprovoked,AUSTRALIA,Victoria,Thirteenth Beach,surfing,M,,N
2016.0,Unprovoked,AUSTRALIA,Victoria,Bells Beach,surfing,M,,N
2016.0,Boating,AUSTRALIA,Western Australia,Bunbury,fishing,Unknown,,N
2016.0,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",wading,M,,N
2016.0,Unprovoked,USA,Hawaii,"Makaha, Oahu",swimming,F,51.0,N
2016.0,Unprovoked,NEW CALEDONIA,North Province,Koumac,surfing,M,50.0,Y
2016.0,Unprovoked,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",surfing,F,12.0,N
2016.0,Unprovoked,AUSTRALIA,Western Australia,Injidup ,surfing,M,,N
2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,9.0,N
2016.0,Unprovoked,USA,California,"Refugio State Beach, Santa Barbara County",fishing,M,22.0,N
2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,25.0,N
2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,37.0,N
2016.0,Unprovoked,REUNION,,Boucan Canot,surfing,M,20.0,N
2016.0,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",wading,M,49.0,N
2016.0,Unprovoked,BAHAMAS,New Providence Island,Nassau,other,M,15.0,N
2016.0,Unprovoked,USA,Hawaii,Maui,surfing,M,21.0,N
2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,22.0,N
2016.0,Unprovoked,SPAIN,Alicante Province,Arenales del Sol,swimming,M,40.0,N
2016.0,Unprovoked,CHINA,Hong Kong,,swimming,M,72.0,N
2016.0,"Valid, but unknown",AUSTRALIA,Western Australia,Near Albany,other,M,,N
2016.0,Provoked,USA,Florida,"Florida Keys, Monroe County",other,M,43.0,N
2016.0,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",surfing,M,18.0,N
2016.0,Unprovoked,JAPAN,Kochi Prefecture,Irino Beach,surfing,M,29.0,N
2016.0,Unprovoked,AUSTRALIA,Tasmania,Clifton Beach,surfing,M,36.0,N
2016.0,Unprovoked,BAHAMAS,Abaco Islands,Green Turtle Cay,fishing,M,,N
2016.0,Provoked,AUSTRALIA,Queensland,"20 k off The Spit, off the Gold Coast",fishing,M,31.0,N
2016.0,Boating,USA,Alabama,8 miles off Mobile,fishing,Unknown,,N
2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,F,9.0,N
2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",unknown,F,11.0,N
2016.0,Unprovoked,USA,California,"Surfside, Orange County",surfing,M,61.0,N
2016.0,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",swimming,M,,N
2016.0,Unprovoked,BAHAMAS,,Tiger Beach,diving,M,,N
2016.0,Unprovoked,SPAIN,Canary Islands,"Las Teresitas, Tenerife",wading,F,10.0,N
2016.0,"Valid, but unknown",USA,California,"Capitola, Santa Cruz County",fishing,M,,N
2016.0,Provoked,USA,Massachusetts,"Off Gloucester, Essec County",fishing,M,59.0,N
2016.0,"Valid, but unknown",USA,California,"Off Palos Verdes peninsula, Los Angeles County",fishing,M,,N
2016.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",swimming,F,42.0,N
2016.0,Provoked,AUSTRALIA,Queensland,Palm Cove ,fishing,M,34.0,N
2016.0,Unprovoked,USA,South Carolina,Sullivan's Island,unknown,M,35.0,N
2016.0,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",surfing,M,11.0,N
2016.0,Unprovoked,COLUMBIA,Isla Provedencia,,diving,M,59.0,N
2016.0,"Valid, but unknown",SOUTH AFRICA,Western Cape Province,Ryspunt,fishing,M,43.0,N
2016.0,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",swimming,M,42.0,N
2016.0,Unprovoked,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",wading,M,,N
2016.0,Unprovoked,USA,Hawaii,"Kalapaki Beach, Kauai",surfing,M,,N
2016.0,Provoked,AUSTRALIA,Western Australia,Coral Bay,fishing,M,19.0,N
2016.0,Unprovoked,USA,Texas,"Pirates Beach, Galveston",swimming,F,6.0,N
2016.0,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",standing,M,19.0,N
2016.0,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",swimming,M,64.0,N
